"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"“Manufacturing in U.S. Expands at Fastest Pace Since May 2004” https://t.co/XZkwS8tTml",FALSE,39278,NA,2018-03-01 18:26:55,FALSE,NA,"969277822920470530",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9567,FALSE,FALSE,NA,NA
"Unemployment filings are at their lowest level in over 48 years. Great news for workers and JOBS, JOBS, JOBS! #MAGA https://t.co/SzHTarzfrW",FALSE,49616,NA,2018-03-01 18:06:30,FALSE,NA,"969272683061022721",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",12963,FALSE,FALSE,NA,NA
"Our Steel and Aluminum industries (and many others) have been decimated by decades of unfair trade and bad policy w… https://t.co/OEgFJVYtCs",FALSE,92018,NA,2018-03-01 12:12:42,TRUE,NA,"969183644756660224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20710,FALSE,FALSE,NA,NA
"Many ideas, some good &amp; some not so good, emerged from our bipartisan meeting on school safety yesterday at the Whi… https://t.co/aJ2m3fH3y3",FALSE,71594,NA,2018-03-01 11:53:58,TRUE,NA,"969178931369783296",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16203,FALSE,FALSE,NA,NA
"It was an honor to welcome bipartisan members of Congress for a discussion on SAFE schools and SAFE communities. As… https://t.co/EPB1EN3HRc",FALSE,49088,NA,2018-02-28 21:34:16,TRUE,NA,"968962582374621185",NA,"<a href=""https://studio.twitter.com"" rel=""nofollow"">Media Studio</a>","realDonaldTrump",11083,FALSE,FALSE,NA,NA
"Today we honor Billy Graham as only three private citizens before him have been honored. 

We say a prayer for our… https://t.co/CbrnqFwUuZ",FALSE,67778,NA,2018-02-28 19:01:34,TRUE,NA,"968924154031497226",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16525,FALSE,FALSE,NA,NA
"Starting at a small Bible School in Florida, Billy Graham soon led a nationwide revival. From a large tent in Los A… https://t.co/rhhuOssGmf",FALSE,61036,NA,2018-02-28 18:36:53,TRUE,NA,"968917941671612416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13484,FALSE,FALSE,NA,NA
"Today, in the center of this great Chamber lies Billy Graham – an Ambassador for Christ who reminded the world of t… https://t.co/1pVcsV0cam",FALSE,69865,NA,2018-02-28 17:10:22,TRUE,NA,"968896168230051850",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16826,FALSE,FALSE,NA,NA
"Why is A.G. Jeff Sessions asking the Inspector General to investigate potentially massive FISA abuse. Will take for… https://t.co/3tKywTn98g",FALSE,85495,NA,2018-02-28 14:34:37,TRUE,NA,"968856971075051521",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",24590,FALSE,FALSE,NA,NA
"45 year low on illegal border crossings this year. Ice and Border Patrol Agents are doing a great job for our Count… https://t.co/Q6WZdxvUjS",FALSE,106145,NA,2018-02-28 14:08:21,TRUE,NA,"968850364383596545",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20194,FALSE,FALSE,NA,NA
"I have decided that sections of the Wall that California wants built NOW will not be built until the whole Wall is… https://t.co/Vz6U6uS0Za",FALSE,96198,NA,2018-02-28 12:29:56,TRUE,NA,"968825596133478400",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",21470,FALSE,FALSE,NA,NA
"The Heritage Foundation has just stated that 64% of the Trump Agenda is already done, faster than even Ronald Reaga… https://t.co/MxsE3dtLnd",FALSE,89957,NA,2018-02-28 12:02:58,TRUE,NA,"968818810005450752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",22642,FALSE,FALSE,NA,NA
"Big legal win today. U.S. judge sided with the Trump Administration and rejected the attempt to stop the government… https://t.co/zxoD3cKbaA",FALSE,97147,NA,2018-02-28 04:28:31,TRUE,NA,"968704442110545923",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23119,FALSE,FALSE,NA,NA
"Such a beautiful map, thank you! https://t.co/FyQdgKvsRO",FALSE,68109,NA,2018-02-28 04:20:43,FALSE,NA,"968702480753315840",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",16403,FALSE,FALSE,NA,NA
".@SenatorWicker of Mississippi has been a great supporter and incredible help in getting our massive Tax Cut Bill d… https://t.co/NZAavAxY2F",FALSE,48083,NA,2018-02-27 22:58:19,TRUE,NA,"968621347294318592",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11810,FALSE,FALSE,NA,NA
"Texas LC George P. Bush backed me when it wasn’t the politically correct thing to do, and I back him now. Also, AC… https://t.co/6YdVjdovKe",FALSE,62522,NA,2018-02-27 22:55:36,TRUE,NA,"968620661349470209",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15034,FALSE,FALSE,NA,NA
"“American consumers are the most confident they've been since 2000....A strong job market is boosting confidence. T… https://t.co/jabPYi1Opc",FALSE,55387,NA,2018-02-27 18:18:22,TRUE,NA,"968550893015707649",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13183,FALSE,FALSE,NA,NA
"I want to encourage all of my many Texas friends to vote in the primary for Governor Greg Abbott, Senator Ted Cruz,… https://t.co/hhYhBC3fk8",FALSE,101698,NA,2018-02-27 18:11:19,TRUE,NA,"968549117625602054",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",28018,FALSE,FALSE,NA,NA
"WITCH HUNT!",FALSE,91597,NA,2018-02-27 12:49:41,FALSE,NA,"968468176639004672",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23829,FALSE,FALSE,NA,NA
"“We’ve seen NO EVIDENCE OF COLLUSION....I have seen nothing, the firing of James Comey and all of the aftermath, th… https://t.co/smYiwXrZnh",FALSE,90469,NA,2018-02-27 12:45:58,TRUE,NA,"968467243192537088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",23216,FALSE,FALSE,NA,NA
"“I’ve been skeptical about the collusion and obstruction claims for the last year. I just don’t see the evidence...… https://t.co/wUxgVpVTIN",FALSE,63523,NA,2018-02-27 12:28:59,TRUE,NA,"968462966864609280",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14594,FALSE,FALSE,NA,NA
"“He’s got a very good point. Somebody in the Justice Department has a treasure trove of evidence of Mrs. Clinton’s… https://t.co/IpmARu0gyP",FALSE,67231,NA,2018-02-27 11:59:30,TRUE,NA,"968455547094753281",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",19305,FALSE,FALSE,NA,NA
"I will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. Enjoy!",FALSE,49221,NA,2018-02-25 01:00:46,FALSE,NA,"967564998238142471",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",8608,FALSE,FALSE,NA,NA
